MeetDate,RaceURL,RaceHeader,RaceDetails,RaceSpecificName,RaceGoing,RaceCourse,Placing,HorseNo,HorseName,HorseLink,JockeyName,JockeyLink,TrainerName,TrainerLink,ActualWt,DeclarHorseWt,Draw,LBW,RunningPosition,FinishTime,WinOdds
12/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=12/04/2026,RACE 1 (594),Griffin Race - 1000M,BOWRING PLATE,GOOD,"TURF - ""C"" Course",1,2,PERFECT ONE,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2025_L183,Z Purton,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=PZ&Season=Current,C H Yip,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=YCH&Season=Current,126,1061,4,---,2 1 1,0:57.32,2.2
12/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=12/04/2026,RACE 1 (594),Griffin Race - 1000M,BOWRING PLATE,GOOD,"TURF - ""C"" Course",2,5,SECRET INGREDIENT,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2025_L290,H Bentley,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=BHW&Season=Current,D A Hayes,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=HDA&Season=Current,121,1020,6,1,1 2 2,0:57.48,4
12/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=12/04/2026,RACE 1 (594),Griffin Race - 1000M,BOWRING PLATE,GOOD,"TURF - ""C"" Course",3,6,TALENTS CHAMPION,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2025_L295,M L Yeung,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=YML&Season=Current,D A Hayes,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=HDA&Season=Current,121,1125,1,1-1/4,4 4 3,0:57.51,2.9
12/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=12/04/2026,RACE 1 (594),Griffin Race - 1000M,BOWRING PLATE,GOOD,"TURF - ""C"" Course",4,3,SILVERY KNIGHT,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2025_L236,L Hewitson,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=HEL&Season=Current,D J Whyte,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=WDJ&Season=Current,126,1102,3,1-1/2,3 3 4,0:57.58,12
12/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=12/04/2026,RACE 1 (594),Griffin Race - 1000M,BOWRING PLATE,GOOD,"TURF - ""C"" Course",5,4,GLORIOUS HERO,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2025_L348,K Teetan,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=TEK&Season=Current,D A Hayes,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=HDA&Season=Current,121,906,5,7-1/2,5 6 5,0:58.53,23
12/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=12/04/2026,RACE 1 (594),Griffin Race - 1000M,BOWRING PLATE,GOOD,"TURF - ""C"" Course",6,1,KA YING GRATEFUL,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2025_L114,K C Leung,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=LDE&Season=Current,W K Mo,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=MWK&Season=Current,126,1014,2,13-3/4,6 5 6,0:59.51,16
