MeetDate,RaceURL,RaceHeader,RaceDetails,RaceSpecificName,RaceGoing,RaceCourse,Placing,HorseNo,HorseName,HorseLink,JockeyName,JockeyLink,TrainerName,TrainerLink,ActualWt,DeclarHorseWt,Draw,LBW,RunningPosition,FinishTime,WinOdds
08/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=08/04/2026,RACE 1 (585),Class 5 - 1200M - (40-0),COCHRANE HANDICAP,GOOD,"TURF - ""C+3"" Course",1,1,DECISION LINK,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2024_K416,J Moreira,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=MOJ&Season=Current,C Fownes,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=FC&Season=Current,132,1188,12,---,9 9 1,1:09.50,5.3
08/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=08/04/2026,RACE 1 (585),Class 5 - 1200M - (40-0),COCHRANE HANDICAP,GOOD,"TURF - ""C+3"" Course",2,7,THOUSAND CUPS,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2023_J482,Y L Chung,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=CCY&Season=Current,A S Cruz,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=CAS&Season=Current,126,1077,3,1/2,1 1 2,1:09.58,13
08/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=08/04/2026,RACE 1 (585),Class 5 - 1200M - (40-0),COCHRANE HANDICAP,GOOD,"TURF - ""C+3"" Course",3,11,CHILL MASTER,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2023_J319,C L Chau,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=CJE&Season=Current,K L Man,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=MKL&Season=Current,123,1004,2,1/2,8 8 3,1:09.58,4.6
08/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=08/04/2026,RACE 1 (585),Class 5 - 1200M - (40-0),COCHRANE HANDICAP,GOOD,"TURF - ""C+3"" Course",4,12,TEAM HAPPY,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2023_J218,K Teetan,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=TEK&Season=Current,C W Chang,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=CCW&Season=Current,120,1208,6,3/4,4 4 4,1:09.63,18
08/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=08/04/2026,RACE 1 (585),Class 5 - 1200M - (40-0),COCHRANE HANDICAP,GOOD,"TURF - ""C+3"" Course",5,3,BLUE BARON,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2023_J448,L Hewitson,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=HEL&Season=Current,B Crawford,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=CBJ&Season=Current,129,1239,8,1-1/4,2 3 5,1:09.70,10
08/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=08/04/2026,RACE 1 (585),Class 5 - 1200M - (40-0),COCHRANE HANDICAP,GOOD,"TURF - ""C+3"" Course",6,9,REWARDING TWINKLE,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2023_J368,C Y Ho,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=HCY&Season=Current,F C Lor,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=LFC&Season=Current,126,1080,9,2,11 11 6,1:09.83,10
08/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=08/04/2026,RACE 1 (585),Class 5 - 1200M - (40-0),COCHRANE HANDICAP,GOOD,"TURF - ""C+3"" Course",7,8,PODIUM,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2022_H173,H Bowman,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=BH&Season=Current,D Eustace,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=EDJ&Season=Current,126,1043,11,2-1/4,12 12 7,1:09.85,24
08/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=08/04/2026,RACE 1 (585),Class 5 - 1200M - (40-0),COCHRANE HANDICAP,GOOD,"TURF - ""C+3"" Course",8,4,CONCORDE STAR,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2023_J344,J Orman,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=OJM&Season=Current,Y S Tsui,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=TYS&Season=Current,129,1059,1,2-1/4,3 2 8,1:09.86,5.7
08/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=08/04/2026,RACE 1 (585),Class 5 - 1200M - (40-0),COCHRANE HANDICAP,GOOD,"TURF - ""C+3"" Course",9,6,SPARKLE AND GOLD,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2024_K259,B Avdulla,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=AVB&Season=Current,C H Yip,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=YCH&Season=Current,128,1145,4,2-3/4,5 5 9,1:09.92,44
08/04/2026,https://racing.hkjc.com/racing/information/English/racing/LocalResults.aspx?RaceDate=08/04/2026,RACE 1 (585),Class 5 - 1200M - (40-0),COCHRANE HANDICAP,GOOD,"TURF - ""C+3"" Course",10,5,ONE AND ONLY,https://racing.hkjc.com/en-us/local/information/horse?horseid=HK_2024_K273,M L Yeung,https://racing.hkjc.com/en-us/local/information/jockeyprofile?jockeyid=YML&Season=Current,J Richards,https://racing.hkjc.com/en-us/local/information/trainerprofile?trainerid=RW&Season=Current,128,1161,5,5-1/4,10 10 10,1:10.32,45
